Cement, Blast Furnace Slag, Fly Ash, Water, Superplasticizer, Coarse Aggregate, Fine Aggregate, Age (day), Concrete compressive strength (MPa) 
540.000000,0.000000,0.000000,162.000000,2.500000,1040.000000,676.000000,28.000000,79.990000
540.000000,0.000000,0.000000,162.000000,2.500000,1055.000000,676.000000,28.000000,61.890000
332.500000,142.500000,0.000000,228.000000,0.000000,932.000000,594.000000,270.000000,40.270000
332.500000,142.500000,0.000000,228.000000,0.000000,932.000000,594.000000,365.000000,41.050000
198.600000,132.400000,0.000000,192.000000,0.000000,978.400000,825.500000,360.000000,44.300000
266.000000,114.000000,0.000000,228.000000,0.000000,932.000000,670.000000,90.000000,47.030000
380.000000,95.000000,0.000000,228.000000,0.000000,932.000000,594.000000,365.000000,43.700000
380.000000,95.000000,0.000000,228.000000,0.000000,932.000000,594.000000,28.000000,36.450000
266.000000,114.000000,0.000000,228.000000,0.000000,932.000000,670.000000,28.000000,45.850000
475.000000,0.000000,0.000000,228.000000,0.000000,932.000000,594.000000,28.000000,39.290000
198.600000,132.400000,0.000000,192.000000,0.000000,978.400000,825.500000,90.000000,38.070000
198.600000,132.400000,0.000000,192.000000,0.000000,978.400000,825.500000,28.000000,28.020000
427.500000,47.500000,0.000000,228.000000,0.000000,932.000000,594.000000,270.000000,43.010000
190.000000,190.000000,0.000000,228.000000,0.000000,932.000000,670.000000,90.000000,42.330000
304.000000,76.000000,0.000000,228.000000,0.000000,932.000000,670.000000,28.000000,47.810000
380.000000,0.000000,0.000000,228.000000,0.000000,932.000000,670.000000,90.000000,52.910000
139.600000,209.400000,0.000000,192.000000,0.000000,1047.000000,806.900000,90.000000,39.360000
342.000000,38.000000,0.000000,228.000000,0.000000,932.000000,670.000000,365.000000,56.140000
380.000000,95.000000,0.000000,228.000000,0.000000,932.000000,594.000000,90.000000,40.560000
475.000000,0.000000,0.000000,228.000000,0.000000,932.000000,594.000000,180.000000,42.620000
427.500000,47.500000,0.000000,228.000000,0.000000,932.000000,594.000000,180.000000,41.840000
139.600000,209.400000,0.000000,192.000000,0.000000,1047.000000,806.900000,28.000000,28.240000
139.600000,209.400000,0.000000,192.000000,0.000000,1047.000000,806.900000,3.000000,8.060000
139.600000,209.400000,0.000000,192.000000,0.000000,1047.000000,806.900000,180.000000,44.210000
380.000000,0.000000,0.000000,228.000000,0.000000,932.000000,670.000000,365.000000,52.520000
380.000000,0.000000,0.000000,228.000000,0.000000,932.000000,670.000000,270.000000,53.300000
380.000000,95.000000,0.000000,228.000000,0.000000,932.000000,594.000000,270.000000,41.150000
342.000000,38.000000,0.000000,228.000000,0.000000,932.000000,670.000000,180.000000,52.120000
427.500000,47.500000,0.000000,228.000000,0.000000,932.000000,594.000000,28.000000,37.430000
475.000000,0.000000,0.000000,228.000000,0.000000,932.000000,594.000000,7.000000,38.600000
304.000000,76.000000,0.000000,228.000000,0.000000,932.000000,670.000000,365.000000,55.260000
266.000000,114.000000,0.000000,228.000000,0.000000,932.000000,670.000000,365.000000,52.910000
